,word,man,woman,man+,woman+,variance,total
0,woman,0.013544401919097608,0.05836489107580771,-0.022410244578355047,0.022410244578355054,0.05991586879647956,0.07190929299490531
1,man,0.05066701143660911,0.020925716813212085,0.014870647311698515,-0.014870647311698508,0.05481816917833196,0.07159272824982119
2,women,0.01355094560154453,0.0336019478829327,-0.010025501140694086,0.010025501140694084,0.0362314646160398,0.04715289348447723
3,like,0.02112925578203273,0.02310436237610267,-0.0009875532970349682,0.0009875532970349717,0.03130905636886605,0.044233618158135396
4,people,0.020059393817286223,0.021664533424090793,-0.0008025698034022852,0.0008025698034022852,0.02952509591517914,0.041723927241377017
5,dating,0.015359845679629728,0.025181532174523895,-0.004910843247447085,0.004910843247447082,0.02949634590858031,0.040541377854153626
6,just,0.020010655742066914,0.02136237968575327,-0.0006758619718431787,0.0006758619718431787,0.02927076372535912,0.041373035427820185
7,time,0.018715487876966537,0.019661095172510593,-0.0004728036477720278,0.0004728036477720278,0.02714457864575173,0.03837658304947713
8,said,0.018567741746792325,0.018032871572813174,0.00026743508698957516,-0.00026743508698957516,0.02588330525139994,0.0366006133196055
9,life,0.015285220230821716,0.017101753041792952,-0.0009082664054856169,0.0009082664054856186,0.02293704241194134,0.032386973272614666
10,love,0.01429323524146056,0.017537540852762462,-0.0016221528056509522,0.0016221528056509504,0.022624365468009097,0.03183077609422302
11,men,0.014158727023072776,0.016634178617513404,-0.0012377257972203144,0.0012377257972203144,0.021844117038535373,0.03079290564058618
12,know,0.014470048435197417,0.015848662853474596,-0.0006893072091385902,0.0006893072091385885,0.021460717974011605,0.030318711288672015
13,sex,0.011240078627914101,0.01793023399803232,-0.0033450776850591103,0.0033450776850591085,0.02116205705468836,0.029170312625946423
14,don,0.013203862912383865,0.014672725586764428,-0.0007344313371902816,0.0007344313371902816,0.01973906968308075,0.027876588499148293
15,good,0.013752970791456895,0.013781398603737519,-1.4213906140312857e-05,1.4213906140311122e-05,0.01946974969191348,0.027534369395194415
16,want,0.011976864809041617,0.014679109211433936,-0.0013511222011961584,0.0013511222011961602,0.018945224672599268,0.02665597402047555
17,new,0.012842500579981098,0.013723473613621306,-0.0004404865168201044,0.0004404865168201044,0.018795306572933972,0.026565974193602404
18,god,0.015661747376180292,0.009664810659609594,0.00299846835828535,-0.0029984683582853482,0.018403773959745143,0.025326558035789884
19,make,0.011966379230273215,0.013374730366081857,-0.0007041755679043204,0.0007041755679043221,0.017946521786911973,0.02534110959635507
20,way,0.012333363562434215,0.012860439006238511,-0.0002635377219021486,0.0002635377219021469,0.017818606797288083,0.025193802568672728
21,really,0.011561101224915809,0.0129587746995971,-0.0006988367373406447,0.0006988367373406464,0.01736631518911446,0.024519875924512907
22,old,0.012221874816661878,0.012324005307332018,-5.1065245335071147e-05,5.106524533506941e-05,0.01735670852579203,0.024545880123993898
23,think,0.011966342315694024,0.012319336400696823,-0.0001764970425013994,0.0001764970425013994,0.017174382020029227,0.024285678716390847
24,years,0.011890836143315897,0.01219675920186416,-0.00015296152927413154,0.00015296152927413154,0.01703387563696077,0.024087595345180058
25,day,0.01127376006777301,0.011686535813340383,-0.00020638787278368619,0.00020638787278368619,0.01623800435343582,0.022960295881113393
26,did,0.011543244681127662,0.010968089563181077,0.00028757755897329193,-0.00028757755897329366,0.015923111707023343,0.02251133424430874
27,year,0.01130265536338759,0.011039648858243996,0.00013150325257179664,-0.00013150325257179837,0.015799489396079936,0.02234230422163159
28,girl,0.007943972815046461,0.013327197107613051,-0.002691612146283294,0.0026916121462832957,0.015515182462071363,0.02127116992265951
29,world,0.011251241431362373,0.010501188037645624,0.00037502669685837535,-0.0003750266968583736,0.015390431571232715,0.021752429469007996
30,looking,0.008864858293378994,0.012432308203380135,-0.0017837249550005704,0.0017837249550005704,0.015269184648353801,0.02129716649675913
31,going,0.010303914551413251,0.01092411767817959,-0.00031010156338316837,0.0003101015633831701,0.015016890561282702,0.02122803222959284
32,police,0.011288399848888268,0.009473100040535871,0.0009076499041761974,-0.0009076499041761991,0.014736607327549358,0.02076149988942414
33,work,0.009957811551681064,0.010698197905354642,-0.00037019317683678783,0.00037019317683678957,0.014615383994987173,0.020656009457035704
34,things,0.009822847962447048,0.010350644645057038,-0.00026389834130499494,0.00026389834130499494,0.014269694694056985,0.020173492607504086
35,best,0.009801639522570432,0.010201586688276629,-0.00019997358285309824,0.00019997358285309824,0.014147243840721684,0.02000322621084706
36,right,0.009736690126351375,0.010065497246189487,-0.00016440355991905603,0.00016440355991905603,0.014004191137999956,0.01980218737254086
37,say,0.009897511028668664,0.009756440609312895,7.053520967788447e-05,-7.053520967788447e-05,0.01389780047078197,0.01965395163798156
38,ve,0.009163256890433718,0.01007401657785236,-0.00045537984370931997,0.0004553798437093217,0.013618042695296746,0.019237273468286076
39,family,0.008814643950566463,0.010265793964245816,-0.0007255750068396773,0.0007255750068396755,0.01353087113572529,0.01908043791481228
40,need,0.008765831100915968,0.009892833915513105,-0.0005635014072985674,0.0005635014072985691,0.013217713787554635,0.01865866501642907
41,great,0.009564394473288123,0.009053652048299011,0.0002553712124945557,-0.0002553712124945557,0.013169899659918948,0.018618046521587134
42,person,0.00829688411632763,0.009996847548822765,-0.0008499817162475661,0.0008499817162475679,0.012991352776142035,0.018293731665150394
43,young,0.008219740448202974,0.009895924616538,-0.0008380920841675119,0.0008380920841675136,0.012864426028860624,0.018115665064740973
44,online,0.00805871709062616,0.009995186079135757,-0.0009682344942547987,0.0009682344942547987,0.012839262669768049,0.018053903169761916
