,word,man,woman,non-binary,man+,woman+,non-binary+,variance,total
0,self-released,0.0,0.0,0.5103668753517974,-0.17012229178393246,-0.17012229178393246,0.3402445835678649,0.7217677569084907,0.5103668753517974
1,records,0.0014562010973368257,0.0010897532506487786,0.39295273496366223,-0.1303766953398791,-0.13074314318656716,0.26111983852644627,0.5575252220720034,0.39549868931164783
2,album,0.002581037027600498,0.002978281727508662,0.15661106086826193,-0.05147575618018986,-0.051078511480281696,0.10255426766047157,0.2254812371964838,0.16217037962337108
3,songs,0.002045309839662174,0.0023337983416682477,0.15018898381804197,-0.04947738749346195,-0.04918889899145588,0.09866628648491785,0.21554038097688863,0.15456809199937238
4,synth,0.0009926101484015724,0.0,0.12840052307995928,-0.042138434261052043,-0.04313104440945362,0.08526947867050566,0.1822916962693754,0.12939313322836085
5,like,0.021732232202770967,0.024516069763282855,0.09983240424962603,-0.02696133653578899,-0.0241774989752771,0.05113883551106607,0.1799427944094618,0.14608070621567987
6,pop,0.0011092249645807805,0.0016878518210439518,0.12382264759910905,-0.04109734983033048,-0.04051872297386731,0.08161607280419778,0.17711206024862045,0.1266197243847338
7,dais,2.481414303480276e-05,4.138212268303997e-05,0.12356334497185675,-0.041185032936156725,-0.04116846495650849,0.08235349789266522,0.1747917790271299,0.1236295412375746
8,song,0.003267935918940845,0.004404603711125872,0.10924596577727562,-0.03570489921683993,-0.034568231424654906,0.07027313064149485,0.16010839417194458,0.11691850540734233
9,band,0.0014703517686993988,0.0008999394531125191,0.10732624073868602,-0.035095158884799915,-0.03566557120038679,0.07076073008518671,0.15347710871853795,0.10969653196049793
10,ep,0.00021671260781406845,0.0,0.10268026303847946,-0.034082279274283776,-0.03429899188209785,0.06838127115638162,0.1453653018404311,0.10289697564629353
11,hip-hop,0.00031150164848976097,0.0004918118374967523,0.09847357500931582,-0.03278079451661102,-0.032600484327604026,0.06538127884421505,0.13983305931211173,0.09927688849530233
12,vocals,0.0005842985482712458,0.0002900497865745952,0.08356827528208732,-0.027563242657373144,-0.027857491419069794,0.055420734076442935,0.11880504556038843,0.08444262361693317
13,music,0.005377651001587507,0.005685086098296568,0.0770997723980182,-0.024009852164379918,-0.02370241706767086,0.04771226923205077,0.11738075787382632,0.08816250949790227
14,sound,0.002893920661729903,0.0024383629025720626,0.0769908566326481,-0.024547126070586782,-0.025002683829744625,0.04954980990033141,0.11277859640621839,0.08232314019695006
15,man,0.05353499030856678,0.020218698285124757,0.01651594978088185,0.023445110850375653,-0.00987118117306637,-0.013573929677309277,0.10814885647626658,0.09026963837457339
16,noise,0.0005709051276789228,0.00042668994559037104,0.07547767806481323,-0.024920852585015252,-0.025065067767103804,0.04998592035211906,0.10745164160949051,0.07647527313808253
17,life,0.016845036300035924,0.021624628792231423,0.0482570860515722,-0.01206388074791059,-0.007284288255715091,0.01934816900362569,0.10296434109198023,0.08672675114383954
18,soundscapes,8.590617302226722e-05,0.0,0.07088428824330519,-0.023570825299086887,-0.023656731472109154,0.04722755677119603,0.10030632181035178,0.07097019441632746
19,rock,0.004851291745840549,0.0016309630356016744,0.06422307039778952,-0.01871714998057003,-0.021937478690808906,0.04065462867137894,0.09565584588537748,0.07070532517923174
