,word,muslim,christian,jewish,hindu,buddhist,atheist,muslim+,christian+,jewish+,hindu+,buddhist+,atheist+,variance,total
0,dating,0.1639120241931921,0.19180077327499667,0.21161042756296067,0.1463570216490057,0.13347868732918336,0.00879337857255371,0.0212533054295434,0.04914205451134798,0.06895170879931198,0.0036983028853569966,-0.00918003143446533,-0.13386534019109497,1.7545271067379782,0.8559523125818921
1,singles,0.06489453477543033,0.07566123838695588,0.11044181448817118,0.07925428241347916,0.0846633700495734,0.0016008709584806559,-0.0045248170699180995,0.0062418865416074415,0.04102246264282275,0.009834930568130729,0.015244018204224968,-0.06781848088686777,0.8541239321390847,0.41651611107209063
2,women,0.04756944839944803,0.03693694874685232,0.049841752447599245,0.05300245671761993,0.04624300956145548,0.010428493278781042,0.00689909687415536,-0.0037334027784403506,0.009171400922306575,0.012332105192327261,0.00557265803616281,-0.030241858246511627,0.49935456314502513,0.24402210915175604
3,single,0.03445152791438193,0.033394187064070185,0.04503569078384872,0.05422814148946193,0.05512450034599547,0.0034710012658072426,-0.003165980229545652,-0.004223321079857394,0.007418182639921139,0.01661063334553435,0.01750699220206789,-0.034146506878120333,0.46270165225259985,0.22570504886356546
4,buddhist,0.005802387899276857,0.004796927442070077,0.006675109337437771,0.022453357414099102,0.16888959534126055,0.002519938890502324,-0.02938716482149759,-0.030392625278704368,-0.028514443383336675,-0.012736195306675344,0.1337000426204861,-0.03266961383027212,0.4554682200194569,0.21113731632464666
5,online,0.043271269375833324,0.04732840168627156,0.05735448248309956,0.03784689108178345,0.03157563920784293,0.0041436285235892725,0.006351217316096648,0.010408349626534884,0.020434430423362883,0.0009268390220467729,-0.005344412851893743,-0.0327764235361474,0.45401926168748274,0.22152031235842007
6,muslim,0.1150896020771086,0.01101328099538311,0.017735284458451798,0.02680599818125124,0.014933175119500897,0.00858366497131817,0.08272943444327296,-0.02134688663845253,-0.014624883175383841,-0.005554169452584398,-0.017426992514334744,-0.02377650266251747,0.40680545035570415,0.19416100580301382
7,jewish,0.011533063315369841,0.012082215270701727,0.12838989631999584,0.01793615488655156,0.01303799508303768,0.007198179813692949,-0.020163187466188424,-0.01961403551085654,0.09669364553843757,-0.013760095895006704,-0.018658255698520587,-0.024498070967865316,0.4024629161455046,0.1901775046893496
8,free,0.03418743768560093,0.037823693960081624,0.04174639622684318,0.037849683065662776,0.034760735033117635,0.008048129752805373,0.0017847583982490145,0.005421014672729707,0.009343716939491264,0.005447003778310859,0.002358055745765718,-0.024354549534546542,0.39779177457409415,0.19441607572411151
9,site,0.03307694394889413,0.034935227270848246,0.04321026807482034,0.03462843137696959,0.038230075858160226,0.0042085811302342326,0.0016953560055730024,0.003553639327527121,0.011828680131499215,0.0032468434336484636,0.006848487914839101,-0.027173006813086893,0.3855798822721891,0.18828952765992676
