,word,man,woman,man+,woman+,variance,total
0,women,0.012833255252068864,0.0562210831383943,-0.02169391394316272,0.021693913943162717,0.057667171160193015,0.06905433839046317
1,woman,0.008440226363014634,0.043758882204734895,-0.01765932792086013,0.01765932792086013,0.044565425980986555,0.05219910856774953
2,man,0.03854217831524483,0.015554903523827112,0.011493637395708856,-0.011493637395708859,0.04156265791452344,0.05409708183907194
3,god,0.02745588873529425,0.01592482077670249,0.00576553397929588,-0.00576553397929588,0.03173997074691395,0.04338070951199674
4,people,0.01919274076727369,0.01921153468517972,-9.39695895301601e-06,9.39695895301601e-06,0.02715592685068276,0.03840427545245341
5,men,0.016346388630958254,0.016665125891230575,-0.00015936863013615854,0.000159368630136162,0.023343753816489853,0.033011514522188826
6,life,0.015281665549413534,0.014204057286648223,0.0005388041313826551,-0.0005388041313826551,0.020863473952496905,0.029485722836061757
7,time,0.014222621184349176,0.013202335132890455,0.0005101430257293607,-0.0005101430257293607,0.019405787959128368,0.02742495631723963
8,world,0.013930929329880699,0.011830330021304318,0.0010502996542881907,-0.0010502996542881907,0.01827641924467439,0.025761259351185017
9,said,0.012524489042938831,0.012904465256594166,-0.00018998810682766855,0.00018998810682766681,0.017982993336631718,0.025428954299533
10,new,0.012955996369681522,0.012192472250059896,0.0003817620598108133,-0.0003817620598108133,0.017790846565008688,0.025148468619741418
11,years,0.011868576404979965,0.011715151259258698,7.671257286063354e-05,-7.671257286063354e-05,0.01667656664029373,0.023583727664238663
12,war,0.01304905600720022,0.009770157401344891,0.0016394493029276633,-0.001639449302927665,0.016301344678464492,0.022819213408545112
13,like,0.011715876097069797,0.011268656445034936,0.00022360982601743115,-0.00022360982601742942,0.01625559506133561,0.02298453254210473
14,day,0.011070087455871942,0.011051040034074968,9.523710898486776e-06,-9.523710898486776e-06,0.01564200505419241,0.02212112748994691
15,children,0.008530060203361035,0.012906389817879052,-0.002188164807259009,0.0021881648072590073,0.01547051470391389,0.02143645002124009
16,jesus,0.012304894536721633,0.008136470665231968,0.0020842119357448313,-0.002084211935744833,0.014751697680132354,0.020441365201953603
17,did,0.011023946648899113,0.00944470835709257,0.0007896191459032722,-0.0007896191459032705,0.014516539383348502,0.02046865500599168
18,history,0.01007810048590925,0.009687753114274526,0.0001951736858173611,-0.00019517368581736284,0.013979294324364878,0.019765853600183778
19,family,0.008076158518633865,0.011361579213801985,-0.0016427103475840608,0.001642710347584059,0.013939505681680384,0.01943773773243585
20,american,0.009097794812046983,0.010307842928351338,-0.0006050240581521784,0.0006050240581521767,0.013748508874698803,0.019405637740398322
21,work,0.009298920018807756,0.009784977794226749,-0.0002430288877094955,0.00024302888770949722,0.013498729716150855,0.019083897813034503
22,human,0.010200562975444917,0.008273502380062305,0.0009635302976913063,-0.0009635302976913063,0.013134014110275437,0.018474065355507222
23,great,0.01057780348256029,0.007489575768434332,0.0015441138570629794,-0.0015441138570629794,0.012960851503924552,0.018067379250994622
24,just,0.009285601310055883,0.008746904869731065,0.00026934822016241,-0.00026934822016240825,0.012756595803326077,0.018032506179786946
25,story,0.008862804343731389,0.009131089019841861,-0.00013414233805523687,0.00013414233805523514,0.012725018173800012,0.017993893363573252
26,way,0.009421204478517029,0.008375091333398315,0.0005230565725593567,-0.0005230565725593567,0.012605603859744002,0.017796295811915344
27,old,0.009096167669201388,0.008491894484523593,0.00030213659233889814,-0.0003021365923388964,0.012443975980469696,0.01758806215372498
28,black,0.007673507843451375,0.009522917939149342,-0.000924705047848984,0.0009247050478489831,0.012229827827867494,0.017196425782600718
29,king,0.009966090698935481,0.006907989500794574,0.0015290505990704535,-0.0015290505990704535,0.012126140472652308,0.016874080199730055
30,mother,0.005153280142040308,0.010802374143929249,-0.0028245470009444704,0.0028245470009444704,0.011968608246900646,0.015955654285969557
31,death,0.0086357823449441,0.008062113867084204,0.00028683423892994844,-0.0002868342389299467,0.011814161701749284,0.0166978962120283
32,pregnancy,0.0006686784923397923,0.011649676694047921,-0.005490499100854065,0.005490499100854064,0.01166885161453179,0.012318355186387714
33,book,0.008796307023985409,0.007474649002252432,0.0006608290108664882,-0.0006608290108664891,0.01154319691277457,0.01627095602623784
34,year,0.007602548166105892,0.008662443665344563,-0.0005299477496193365,0.0005299477496193347,0.01152547911686227,0.016264991831450457
35,father,0.008539101490519478,0.007734347242207955,0.00040237712415576096,-0.00040237712415576183,0.011521127615317948,0.016273448732727434
36,church,0.009098308134908072,0.006914767879800349,0.0010917701275538604,-0.0010917701275538622,0.011427739310522142,0.016013076014708423
37,good,0.008680214262602176,0.00718722969899577,0.0007464922818032037,-0.0007464922818032028,0.011269533725527825,0.015867443961597946
38,person,0.007678979896801236,0.008089568867901168,-0.00020529448554996652,0.00020529448554996478,0.011153826999016677,0.015768548764702406
39,make,0.007908987182026856,0.0077720853205618815,6.845093073248702e-05,-6.845093073248789e-05,0.01108861526411475,0.01568107250258874
40,health,0.004269732399819733,0.010220085656536326,-0.0029751766283582963,0.0029751766283582963,0.011076134957331006,0.014489818056356059
41,cancer,0.0025885033228421374,0.010601877666711897,-0.00400668717193488,0.00400668717193488,0.010913301952767974,0.013190380989554034
42,law,0.008092653494066137,0.007270436355725856,0.00041110856917014015,-0.000411108569170141,0.010878891734808336,0.015363089849791994
43,young,0.006784892118758649,0.008467652915236146,-0.0008413803982387493,0.0008413803982387485,0.010850617814488742,0.015252545033994796
44,love,0.007439952435959554,0.007743718300601319,-0.0001518829323208827,0.0001518829323208827,0.010738624929124224,0.015183670736560873
45,know,0.007742562632816127,0.007422155106757566,0.00016020376302928064,-0.00016020376302928064,0.010725467940926773,0.015164717739573693
46,child,0.005258563826256576,0.009120795240767518,-0.001931115707255471,0.001931115707255471,0.010528124207987936,0.014379359067024094
47,rights,0.006170824222635534,0.008519266271158375,-0.0011742210242614197,0.0011742210242614206,0.010519361643444062,0.014690090493793908
48,state,0.007787986373758412,0.006943948608842143,0.00042201888245813404,-0.0004220188824581349,0.010434134081948892,0.014731934982600555
49,century,0.007617309817541864,0.006836780045459498,0.00039026488604118354,-0.0003902648860411827,0.010235476063496646,0.014454089863001361
