,word,old,young,old+,young+,variance,total
0,young,0.005850823793437959,0.038261205344966326,-0.016205190775764183,0.016205190775764183,0.038705968189822346,0.044112029138404285
1,old,0.03376272511780348,0.01045301326861359,0.011654855924594948,-0.011654855924594944,0.03534384095955291,0.04421573838641707
2,like,0.02050936022682663,0.01720384015270734,0.0016527600370596432,-0.0016527600370596467,0.026769497061275613,0.037713200379533976
3,people,0.016026686258713344,0.020582183204930406,-0.002277748473108531,0.002277748473108531,0.026086029554467472,0.03660886946364375
4,time,0.018726004869245246,0.016645661481324337,0.0010401716939604545,-0.0010401716939604545,0.025054766103754417,0.03537166635056958
5,just,0.019281699193163932,0.01555768083909067,0.0018620091770366297,-0.0018620091770366332,0.024775499124471093,0.034839380032254605
6,new,0.018063290411536197,0.014611615618061178,0.0017258373967375083,-0.00172583739673751,0.02323320407222097,0.03267490602959738
7,said,0.012429222022741172,0.017235238604099284,-0.002403008290679057,0.0024030082906790554,0.021249447282948995,0.029664460626840458
8,year,0.013444158670033346,0.013813277412682592,-0.0001845593713246229,0.0001845593713246229,0.01927568507796182,0.027257436082715938
9,years,0.013685990865384096,0.013213136787983889,0.000236427038700103,-0.00023642703870010474,0.019023494151846822,0.026899127653367987
10,life,0.012124690640573123,0.014528910522185454,-0.0012021099408061654,0.0012021099408061654,0.018923460679571076,0.026653601162758576
11,children,0.007315292096624307,0.016443661378481064,-0.004564184640928379,0.004564184640928379,0.017997430316272482,0.02375895347510537
12,know,0.013071566251967493,0.011373611199683638,0.0008489775261419277,-0.0008489775261419277,0.017326998470627988,0.02444517745165113
13,good,0.013018936459561183,0.010960443182188497,0.0010292466386863427,-0.0010292466386863427,0.017018343670524277,0.02397937964174968
14,day,0.012458121242944218,0.011208900788190156,0.0006246102273770298,-0.0006246102273770315,0.01675840809216042,0.023667022031134376
15,don,0.01308634605751133,0.010419642076064824,0.0013333519907232517,-0.0013333519907232534,0.01672786280820843,0.023505988133576156
16,make,0.012193548542029248,0.010542244026112398,0.0008256522579584251,-0.0008256522579584251,0.016118980586653925,0.022735792568141646
17,way,0.011961250881523215,0.010742211668003415,0.0006095196067599003,-0.0006095196067599003,0.016076897529403136,0.02270346254952663
18,work,0.010764080578494213,0.011426903239998457,-0.0003314113307521221,0.0003314113307521221,0.015698393177539016,0.02219098381849267
19,world,0.009681371448587004,0.01182845494187577,-0.0010735417466443842,0.0010735417466443825,0.015285329549522348,0.021509826390462776
20,school,0.007839351954449928,0.013056287726114557,-0.002608467885832315,0.0026084678858323135,0.015228988418566337,0.020895639680564487
21,love,0.010921885398421573,0.010473791674956344,0.0002240468617326144,-0.0002240468617326144,0.015132345908901211,0.021395677073377917
22,think,0.011181102929150541,0.0101668746131842,0.0005071141579831694,-0.0005071141579831712,0.015112326164838697,0.021347977542334744
23,really,0.01157176868518981,0.009499975961885468,0.0010358963616521714,-0.0010358963616521714,0.0149718193209757,0.02107174464707528
24,ve,0.011427095083216664,0.00870273012979124,0.001362182476712711,-0.0013621824767127127,0.014363704736343295,0.020129825213007907
25,home,0.01033490643413618,0.008926022349629236,0.0007044420422534711,-0.0007044420422534729,0.013655920547089825,0.019260928783765417
