,word,man,woman,man+,woman+,variance,total
0,woman,0.01001799766495835,0.0721607212968282,-0.031071361815934926,0.031071361815934923,0.07285279661957819,0.08217871896178655
1,man,0.06533328047637295,0.01855257213960789,0.023390354168382532,-0.023390354168382525,0.06791638587851806,0.08388585261598083
2,said,0.037004634279185544,0.045055865860614844,-0.00402561579071465,0.00402561579071465,0.058304150852113365,0.08206050013980039
3,police,0.019874703394195593,0.03833760236173607,-0.009231449483770238,0.009231449483770238,0.04318304748224517,0.05821230575593166
4,time,0.025150349268923795,0.028947488349792726,-0.0018985695404344638,0.0018985695404344673,0.038347061818478884,0.05409783761871652
5,like,0.02807420506538643,0.024901892953698723,0.0015861560558438556,-0.0015861560558438521,0.03752686054988931,0.05297609801908515
6,people,0.021888245038036547,0.02841007282032301,-0.003260913891143233,0.0032609138911432294,0.03586401411584024,0.05029831785835956
7,just,0.023669842826725115,0.026938213621274024,-0.0016341853972744527,0.0016341853972744562,0.03585984958902175,0.050608056447999136
8,hat,0.0017682930102424564,0.03170420561167455,-0.014967956300716047,0.014967956300716047,0.03175348033897085,0.03347249862191701
9,god,0.02819336343478715,0.004930699342569829,0.01163133204610866,-0.011631332046108661,0.028621277710347098,0.03312406277735698
10,women,0.013718747083617568,0.02475888052954623,-0.005520066722964331,0.005520066722964331,0.028305585784798887,0.0384776276131638
11,think,0.02105921485496357,0.01837015083323339,0.001344532010865089,-0.001344532010865089,0.02794553581420946,0.03942936568819696
12,good,0.023097382471276198,0.013030136107543536,0.005033623181866332,-0.00503362318186633,0.026519304742121854,0.03612751857881973
13,years,0.01665343155653217,0.02040054360014807,-0.0018735560218079497,0.0018735560218079497,0.02633474818162581,0.03705397515668024
14,mia,0.0,0.02630672028558618,-0.01315336014279309,0.01315336014279309,0.02630672028558618,0.02630672028558618
15,ya,0.0009597753201987664,0.026247795315686235,-0.012644009997743734,0.012644009997743734,0.026265336997636692,0.027207570635885
16,love,0.01859852561923542,0.016994735964009227,0.000801894827613097,-0.000801894827613097,0.025193773153216747,0.03559326158324465
17,going,0.018455413066320498,0.016622536534502578,0.0009164382659089601,-0.0009164382659089601,0.02483769297437639,0.035077949600823076
18,don,0.017751476239240355,0.01676696496568847,0.0004922556367759449,-0.0004922556367759415,0.024418149455536945,0.03451844120492882
19,dr,0.0028511726855496955,0.023952247416949783,-0.010550537365700044,0.010550537365700044,0.024121346189746585,0.02680342010249948
20,men,0.016732839481962476,0.016870412007444657,-6.878626274109054e-05,6.878626274109054e-05,0.023761286127439635,0.033603251489407134
21,got,0.021720448520849492,0.008453001255129652,0.00663372363285992,-0.00663372363285992,0.023307318896992342,0.030173449775979144
22,death,0.007544939428084085,0.02192618260291393,-0.007190621587414923,0.007190621587414922,0.023188005401711103,0.029471122030998016
23,family,0.009501466706762662,0.020877906804290004,-0.005688220048763671,0.005688220048763671,0.022938283765537873,0.030379373511052667
24,say,0.014430618620838467,0.017646707079657757,-0.0016080442294096435,0.001608044229409647,0.022795811556848178,0.03207732570049622
25,life,0.011030315463719445,0.019524268764395572,-0.0042469766503380624,0.004246976650338064,0.022424650053312335,0.030554584228115016
26,make,0.015284533699323963,0.016328829165016993,-0.0005221477328465132,0.0005221477328465167,0.022366216316267694,0.03161336286434095
27,crash,0.00636750794545944,0.021237220692574388,-0.007434856373557475,0.007434856373557473,0.02217125842573215,0.02760472863803383
28,day,0.014426029999976421,0.016308695573420927,-0.0009413327867222529,0.0009413327867222529,0.02177346763532945,0.030734725573397348
29,film,0.00987383939506698,0.01937333058845931,-0.004749745596696166,0.004749745596696164,0.02174439335758323,0.02924716998352629
30,school,0.006237914955327039,0.020574391943867405,-0.0071682384942701825,0.007168238494270184,0.021499236889940272,0.026812306899194442
31,did,0.015348866509335597,0.015035445029743365,0.00015671073979611587,-0.00015671073979611587,0.02148609574501236,0.030384311539078963
32,new,0.015522917487340575,0.014822673781613196,0.0003501218528636895,-0.0003501218528636895,0.02146328552097528,0.03034559126895377
33,ve,0.016222308245863796,0.01363209692981275,0.0012951056580255242,-0.0012951056580255225,0.021189557605755492,0.029854405175676543
34,ethiopian,0.0,0.021092028700186543,-0.010546014350093271,0.010546014350093271,0.021092028700186543,0.021092028700186543
35,today,0.014207098449649838,0.015393649884025556,-0.0005932757171878602,0.0005932757171878585,0.020947699231896637,0.029600748333675396
36,annie,0.008808743505204232,0.018674536231032973,-0.0049328963629143695,0.004932896362914371,0.02064781503173255,0.027483279736237202
37,bmw,0.0,0.020258800075212597,-0.010129400037606298,0.010129400037606298,0.020258800075212597,0.020258800075212597
38,boxes,0.0,0.020240271466621804,-0.010120135733310902,0.010120135733310902,0.020240271466621804,0.020240271466621804
39,thought,0.017773583085398732,0.008936666425820918,0.004418458329788908,-0.004418458329788906,0.019893824732815122,0.02671024951121965
40,clan,0.0,0.019620430580163984,-0.009810215290081992,0.009810215290081992,0.019620430580163984,0.019620430580163984
41,world,0.01253325416427126,0.014918621702107124,-0.0011926837689179327,0.001192683768917931,0.019484551147942942,0.027451875866378386
42,black,0.003998558698057592,0.0190486985572284,-0.007525069929585406,0.007525069929585404,0.019463848241957897,0.023047257255285995
43,little,0.01551225065387066,0.011172418106353662,0.0021699162737584994,-0.0021699162737584994,0.019116821040426408,0.026684668760224323
44,young,0.005369519300414975,0.01819481124810563,-0.006412645973845328,0.006412645973845329,0.01897057969255869,0.023564330548520605
45,year,0.008588439087414714,0.01676626502970006,-0.004088912971142673,0.004088912971142673,0.018837965097227887,0.025354704117114775
