,word,old,young,old+,young+,variance,total
0,young,0.005798104696575014,0.038013446551200133,-0.016107670927312558,0.01610767092731256,0.038453090080946606,0.043811551247775145
1,old,0.03437852724706434,0.00808561062946092,0.01314645830880171,-0.013146458308801711,0.035316571675750134,0.04246413787652526
2,like,0.020210171814082252,0.01689526482168455,0.001657453496198849,-0.0016574534961988525,0.026342001027818224,0.037105436635766806
3,people,0.015943352495968493,0.020483110493156622,-0.0022698789985940646,0.0022698789985940646,0.025956662040516068,0.036426462989125115
4,just,0.019168655067152502,0.015470148159950878,0.0018492534536008118,-0.0018492534536008118,0.024632556123437593,0.03463880322710338
5,time,0.018284736531931182,0.016029753663814233,0.0011274914340584745,-0.0011274914340584745,0.02431634414472506,0.034314490195745416
6,new,0.017855163468969454,0.014460986338417593,0.0016970885652759296,-0.0016970885652759313,0.022976661819844972,0.03231614980738705
7,said,0.012380133153778814,0.01716578178379648,-0.0023928243150088332,0.0023928243150088332,0.021164398435916207,0.029545914937575295
8,years,0.01356746279642794,0.013079217333266143,0.00024412273158089942,-0.0002441227315808977,0.018845210871286787,0.02664668012969408
9,life,0.01181356126687268,0.01400537674925502,-0.001095907741191171,0.0010959077411911693,0.01832241271488904,0.025818938016127703
10,children,0.00727448853216634,0.01636395792494378,-0.004544734696388721,0.004544734696388719,0.01790802340778987,0.02363844645711012
11,know,0.012993031949990035,0.011302229018049264,0.0008454014659703846,-0.0008454014659703864,0.01722089602865939,0.0242952609680393
12,good,0.012851394535123356,0.010786639142789378,0.001032377696166988,-0.0010323776961669896,0.016778257522584234,0.023638033677912736
13,don,0.013017537341029763,0.01036918163134089,0.0013241778548444376,-0.0013241778548444359,0.016642602144161273,0.02338671897237065
14,year,0.01197009875378915,0.011298683658387518,0.0003357075477008146,-0.0003357075477008163,0.016460361982282703,0.02326878241217667
15,day,0.011996289845390608,0.010628132679234186,0.0006840785830782119,-0.0006840785830782101,0.01602710748394817,0.022624422524624793
16,make,0.012063915438030533,0.010406527613814153,0.0008286939121081895,-0.0008286939121081912,0.01593216472024527,0.022470443051844688
17,way,0.011836663407502014,0.010637490548837334,0.0005995864293323397,-0.0005995864293323397,0.015914232805859692,0.022474153956339348
18,work,0.010639696206166466,0.011286184799941259,-0.0003232442968873969,0.0003232442968873952,0.015510677054788365,0.021925881006107727
19,think,0.01111699903004089,0.010109096206676159,0.000503951411682366,-0.000503951411682366,0.015026027204479714,0.02122609523671705
20,love,0.010807289518698868,0.010356758141980914,0.000225265688358978,-0.00022526568835897626,0.014968632066841188,0.02116404766067978
21,world,0.009490906196548651,0.011574990433874617,-0.001042042118662984,0.0010420421186629822,0.014968557177496252,0.02106589663042327
22,really,0.011508868816806664,0.009450876529258925,0.0010289961437738703,-0.0010289961437738686,0.014892049174434053,0.020959745346065588
23,school,0.007613677756546397,0.012637968377827121,-0.002512145310640362,0.0025121453106403627,0.014754197155368624,0.020251646134373517
24,ve,0.011363245966506832,0.008655805728806627,0.0013537201188501026,-0.0013537201188501026,0.014284478699279698,0.02001905169531346
25,family,0.008287075636521727,0.010586346544575333,-0.0011496354540268035,0.0011496354540268018,0.013444194128592242,0.018873422181097062
