,word,man,woman,non-binary,man+,woman+,non-binary+,variance,total
0,non-binary,3.661064011720703e-05,7.775783082367374e-05,0.09215514365518783,-0.030719893401925696,-0.03067874621121923,0.06139863961314493,0.1304079781176035,0.09226951212612872
1,women,0.010617157811551129,0.031470300296807946,0.04414321084430116,-0.018126398506002284,0.002726743979254532,0.015399654526747745,0.10240827687464701,0.08623066895266024
2,gender,0.0012747878156487535,0.0029921088087223645,0.06774782923507189,-0.02273012080416558,-0.02101279981109197,0.04374292061525756,0.09892657330451383,0.072014725859443
3,people,0.018372740752742926,0.02002753681312528,0.043662941619882586,-0.008981665642507339,-0.007326869582124983,0.016308535224632322,0.09684773744181348,0.0820632191857508
4,woman,0.011194118485611138,0.050814854194827244,0.011299455983247667,-0.013242024402284211,0.026378711306931896,-0.013136686904647681,0.09060497289976721,0.07330842866368605
5,man,0.04551250435673247,0.01910084526547528,0.006536291648751589,0.021795957266412692,-0.0046157018248445016,-0.01718025544156819,0.08684022630199072,0.07114964127095934
6,trans,0.0003690425682858556,0.0008098343157977627,0.05542715598353361,-0.01849963505425322,-0.018058843306741314,0.03655847836099453,0.07922881168785115,0.05660603286761723
7,like,0.018847349011017308,0.02067240601072027,0.02186513913117952,-0.001614282373288388,0.00021077462641457337,0.001403507746873825,0.0709137537746087,0.06138489415291709
8,said,0.022479921903422465,0.022461110141030995,0.011440672533422068,0.003686020377463954,0.003667208615072484,-0.0073532289925364435,0.06572392225571544,0.05638170457787553
9,just,0.017890221895375497,0.019032057881657006,0.015395526051587628,0.000450953285835453,0.0015927892721169616,-0.0020437425579524163,0.06046862240702055,0.05231780582862013
10,time,0.016528782253409546,0.01715355098397989,0.013375079184133871,0.0008429781129017759,0.001467746843472121,-0.0023107249563738986,0.05441266177216302,0.04705741242152331
11,transgender,0.0004092287684017645,0.0009282699792640852,0.03549982290219636,-0.011869878448218973,-0.011350837237356652,0.02322071568557562,0.051168885523939285,0.03683732164986221
12,life,0.015034322275384114,0.016985903437960366,0.011472128064920087,0.0005368710159625919,0.002488452178538844,-0.0030253231945014357,0.05037604908481288,0.04349235377826457
13,men,0.012516090237839506,0.01366954138783647,0.015161992141460813,-0.0012664510178727589,-0.00011299986787579458,0.0013794508857485482,0.047780967690932444,0.04134762376713679
14,new,0.01255965275767589,0.013136544358366918,0.014973994386237413,-0.0009970777430841835,-0.00042018614239315577,0.0014172638854773392,0.046995730229287346,0.04067019150228022
15,queer,0.00031412799232674734,0.0005510690062162734,0.03256466593989488,-0.010829159653819217,-0.010592218639929691,0.021421378293748912,0.04667349951851552,0.033429862938437895
16,know,0.013520280496749026,0.014947964001075726,0.011841637848876638,8.365304784856316e-05,0.0015113365521752624,-0.0015949896000238255,0.04659775331748392,0.04030988234670139
17,love,0.012424843097596516,0.015341357386750486,0.011695338144346862,-0.0007290031119681056,0.0021875111771858646,-0.001458508065217759,0.04564786892859741,0.039461538628693865
18,dating,0.008853149130442564,0.015129165938841992,0.015232278183551969,-0.004218381953836276,0.002057634854563152,0.002160747099273129,0.045574955119861586,0.03921459325283652
19,don,0.012076686232819012,0.013662027043919871,0.01288422638159099,-0.000797626986624278,0.0007877138244765814,9.913162147700064e-06,0.044612017334097705,0.03862293965832987
20,sex,0.006957732241530109,0.011863898823504611,0.01861215276508987,-0.005520195701844755,-0.0006140291198702529,0.006134224821715006,0.04400980044979438,0.03743378383012459
21,way,0.011666005248064597,0.012177054211089526,0.011665225654332994,-0.00017008978976444135,0.0003409591732604876,-0.00017086938349604452,0.041003562393710176,0.035508285113487116
22,work,0.009129592483893409,0.01016888176036767,0.01588981377088862,-0.002599836854489824,-0.0015605475780155632,0.004160384432505387,0.04095677490097274,0.0351882880151497
23,think,0.011073159272524297,0.011861711026168644,0.011772525879290393,-0.0004959727868034825,0.00029257896684086425,0.00020339381996261306,0.040081301872282996,0.03470739617798334
24,world,0.011370995129612873,0.010760148155056114,0.012556894882406617,-0.00019168425941232942,-0.0008025312339690876,0.0009942154933814153,0.04007512844052706,0.03468803816707561
25,god,0.01772294574569905,0.01195142416844205,0.003264592214583501,0.00674329170279085,0.0009717701255338492,-0.007715061828324701,0.039402691963926595,0.0329389621287246
26,really,0.010040708030056904,0.011253029451590927,0.012098124375231313,-0.001089912588902812,0.00012240883263121144,0.0009675037562715972,0.038585328056797555,0.033391861856879146
27,want,0.009376456972670512,0.011364718705049202,0.012105409013011664,-0.0015724045909066148,0.00041585714147207575,0.0011565474494345373,0.03798044009517174,0.03284658469073138
28,years,0.01141273162169839,0.011660523840768726,0.009523051848868222,0.0005472958512532777,0.0007950880703236143,-0.0013423839215768903,0.03767527075100186,0.03259630731133534
29,make,0.010228884055403469,0.011139190869664113,0.010877869689843292,-0.0005197641495668214,0.0003905426646938232,0.00012922148487300167,0.0372403092810305,0.03224594461491087
30,ve,0.009165232724764629,0.01012396886273451,0.012360917393779697,-0.0013848069356616494,-0.00042607079769176916,0.0018108777333534186,0.036619920081530304,0.031650118981278834
31,day,0.011102965737487386,0.01169138922705894,0.008066845825598997,0.0008158988074389462,0.001404322297010499,-0.0022202211044494435,0.03574146256114961,0.030861200790145323
32,community,0.0035253561438183954,0.0043365710606972875,0.02027373395512318,-0.005853197576061226,-0.005041982659182333,0.01089518023524356,0.035126538427211425,0.028135661159638864
33,good,0.011991021641928707,0.011390967792327917,0.006660885613061146,0.0019767299594894514,0.001376676109888661,-0.0033534060693781098,0.03493537584629781,0.030042875047317768
34,police,0.01372203306583437,0.012215460674689657,0.0026040199694520503,0.004208195162509011,0.002701622771364298,-0.006909817933873309,0.03404277597101621,0.02854151370997608
35,did,0.011534695597581992,0.011439024885206435,0.0062559756858873265,0.0017914635413567408,0.0016957928289811838,-0.0034872563703379246,0.034020771048710235,0.029229696168675753
36,person,0.006772525251586706,0.00799590224516524,0.01354054440993667,-0.0026637987173094985,-0.0014404217237309648,0.004104220441040465,0.03308392032889649,0.028308971906688615
37,story,0.0091202063035822,0.01056673236524807,0.008507419134270677,-0.00027791296411811515,0.0011686130975477552,-0.0008907001334296383,0.03259036649309295,0.028194357803100947
38,say,0.010282275722121566,0.010363876562012436,0.007503747124018492,0.0008989759194040683,0.000980576759294938,-0.0018795526786990055,0.032586165607642166,0.028149899408152494
39,things,0.00942438535814836,0.009733096973149443,0.008956268585318412,5.3135052609620814e-05,0.00036184666761070357,-0.00041498172022032785,0.032467675519530385,0.028113750916616217
40,sexual,0.0034992705796558447,0.005611791570075655,0.017109679153579558,-0.005240976521447841,-0.003128455531028031,0.008369432052475872,0.032000085850653816,0.026220741303311056
41,going,0.009980243496136429,0.010286734664663143,0.007319427459356588,0.0007847749560843751,0.0010912661246110893,-0.0018760410806954652,0.03193753221017433,0.02758640562015616
42,book,0.008384067144816707,0.009797608997985333,0.00898919347049936,-0.0006728893929504268,0.0007406524602181982,-6.776306726777488e-05,0.031390244961759885,0.027170869613301403
43,feel,0.006231751812571003,0.008363587283666027,0.012232438538769376,-0.0027108407324311313,-0.0005790052613361078,0.0032898459937672417,0.03127533418435528,0.026827777635006406
44,young,0.007885040324057856,0.009361920109506304,0.009534729715249511,-0.0010421897255467015,0.0004346900599017465,0.0006074996656449533,0.030951403958766114,0.026781690148813674
45,year,0.008468652056454801,0.008148331842644413,0.00975131749465758,-0.00032078174146413056,-0.000641101955274519,0.0009618836967386479,0.030471115679357078,0.026368301393756795
46,right,0.009176070212180556,0.009345446994285174,0.007579176718654582,0.0004758389038071204,0.0006452156859117382,-0.0011210545897188534,0.03016998155729083,0.026100693925120308
47,female,0.0026362823092649736,0.006383725304484838,0.01572179157162384,-0.0056109840858595775,-0.0018635410906397126,0.00747452517649929,0.03011699338128231,0.024741799185373652
48,family,0.008650235323674215,0.010428686180039557,0.0069065729590547095,-1.1596163915278054e-05,0.0017668546924500643,-0.0017552585285347836,0.03010864890874392,0.02598549446276848
49,lgbtq,0.00019948267956616805,0.00033887660084023824,0.01995840512144085,-0.006632772121049583,-0.006493378199775513,0.013126150320825099,0.028611359922702608,0.020496764401847254
